timestamp,rss_mb,vsz_mb,cpu_pct
23:14:49,247.62,10085.07,17.7
23:14:50,247.62,10085.07,17
23:14:51,247.62,10085.07,16.4
23:14:52,247.62,10085.07,15.8
23:14:53,247.62,10085.07,15.2
23:14:54,247.62,10085.07,14.7
23:14:55,247.62,10085.07,14.2
23:14:56,247.62,10085.07,13.8
23:14:57,247.62,10085.07,13.4
23:14:58,247.62,10085.07,13
23:14:59,247.62,10085.07,12.6
23:15:00,247.74,10085.07,12.3
23:15:01,247.74,10085.07,11.9
23:15:02,247.74,10085.07,11.6
23:15:03,247.74,10085.07,11.3
23:15:04,247.74,10085.07,11
23:15:05,247.74,10085.07,10.8
23:15:06,247.74,10085.07,10.5
23:15:07,247.74,10085.07,10.3
23:15:08,247.74,10085.07,10
23:15:09,247.74,10085.07,9.8
23:15:10,247.74,10085.07,9.6
23:15:11,247.74,10085.07,9.4
23:15:12,247.74,10085.07,9.2
23:15:13,247.74,10085.07,9
23:15:14,249.09,10085.07,9.6
23:15:15,249.22,10085.59,10.3
23:15:16,249.3,10085.09,10.8
23:15:17,249.54,10085.09,11.3
23:15:18,249.72,10085.34,11.7
23:15:19,249.96,10085.34,12.1
23:15:20,256.31,10084.91,12.6
23:15:21,256.43,10084.91,12.9
23:15:22,256.52,10084.91,13.2
23:15:23,257.32,10084.91,13.4
23:15:24,257.56,10084.91,13.7
23:15:25,259,10084.91,13.9
23:15:26,260.26,10084.66,14.3
23:15:27,270.27,10084.66,14.4
23:15:29,279.94,10084.66,14.6
23:15:29,280.07,10084.66,14.8
23:15:30,280.21,10084.66,15.1
23:15:31,280.28,10084.66,15.2
23:15:32,280.3,10084.66,15.4
23:15:33,280.33,10084.66,15.5
23:15:34,280.37,10084.66,15.8
23:15:35,280.38,10084.66,16
23:15:36,280.52,10084.66,16.2
23:15:37,280.63,10084.66,16.3
23:15:38,280.64,10084.66,16.6
23:15:39,280.64,10084.66,16.7
23:15:40,280.71,10084.66,16.8
23:15:41,280.79,10089.41,17
23:15:43,280.79,10089.41,18.2
23:15:44,280.79,10089.41,19.3
23:15:44,280.79,10089.41,20.3
23:15:46,280.79,10089.41,21.3
23:15:47,280.79,10089.41,22.3
23:15:47,280.8,10089.41,23.2
23:15:49,280.8,10089.41,24.1
23:15:50,280.8,10089.41,24.9
23:15:51,280.81,10089.41,25.8
23:15:52,280.81,10089.41,26.7
23:15:53,280.81,10089.41,27.6
23:15:54,280.81,10089.41,28.5
23:15:55,280.81,10089.41,29.4
23:15:56,280.81,10089.41,29.8
23:15:57,280.81,10089.41,30.2
23:15:58,280.81,10089.41,30.8
23:15:58,280.84,10089.66,31.2
23:16:00,280.84,10089.66,31.9
23:16:00,280.85,10089.66,32.7
23:16:02,280.85,10089.66,33.4
23:16:03,281.11,10089.91,34.2
23:16:04,281.36,10090.16,34.9
23:16:05,281.64,10090.41,35.6
23:16:06,281.89,10090.66,36.3
23:16:07,281.89,10090.66,37
23:16:08,282.42,10091.16,37.6
23:16:09,282.43,10091.16,38.1
23:16:10,282.68,10091.41,38.6
23:16:11,283.18,10091.91,39.2
23:16:12,283.43,10092.16,39.8
23:16:13,283.63,10092.41,40.4
23:16:14,283.63,10092.41,40.9
23:16:15,283.63,10092.41,41.3
23:16:16,284.02,10092.91,41.9
23:16:17,284.03,10092.91,42.4
23:16:18,284.28,10093.16,42.7
23:16:19,284.3,10093.16,43.1
23:16:20,284.56,10093.41,43.5
23:16:21,284.91,10093.91,43.9
23:16:22,284.92,10093.66,44.3
23:16:23,285.06,10093.91,44.6
23:16:24,285.82,10094.66,45
23:16:25,286.07,10094.91,45.3
23:16:26,286.32,10095.16,45.7
23:16:27,286.59,10095.41,46.1
23:16:28,286.98,10095.41,46.3
23:16:29,287.23,10095.66,46.6
23:16:30,287.98,10096.41,46.9
23:16:31,288.98,10097.41,47.3
23:16:32,288.99,10097.41,47.6
23:16:33,289,10097.41,47.9
23:16:34,289.02,10097.41,48.3
23:16:35,289.04,10097.41,48.6
23:16:36,289.04,10097.41,49
23:16:37,289.3,10097.66,49.4
23:16:38,289.55,10097.91,49.6
23:16:39,290.06,10098.66,49.9
23:16:40,291.3,10099.66,50.1
23:16:41,291.57,10099.91,50.5
23:16:42,292.08,10100.41,50.8
23:16:43,292.14,10100.41,51.1
23:16:44,292.14,10100.41,51.4
23:16:45,292.15,10100.41,51.8
23:16:46,292.79,10100.91,52
23:16:47,293.09,10101.41,52.3
23:16:48,293.6,10101.91,52.4
23:16:49,293.68,10101.91,52.5
23:16:50,293.67,10101.91,52.6
23:16:51,293.93,10102.16,52.5
23:16:52,293.93,10102.16,52.5
23:16:53,293.93,10102.41,52.4
23:16:54,300.52,10103.41,52.5
23:16:55,301.28,10104.16,52.7
23:16:56,301.79,10104.66,52.7
23:16:57,302.04,10104.91,52.6
23:16:58,302.54,10105.41,52.7
23:16:59,303.55,10106.41,52.9
23:17:00,304.08,10106.91,53
23:17:01,304.87,10107.66,53.1
23:17:02,304.88,10107.66,53.2
23:17:03,305,10107.91,53.3
23:17:04,305.3,10108.41,53.5
23:17:05,306.3,10109.41,53.6
23:17:06,307.05,10110.16,53.6
23:17:07,307.8,10110.91,53.8
23:17:08,308.3,10111.41,53.8
23:17:09,308.8,10111.91,54.1
23:17:10,309.8,10112.91,54.3
23:17:11,310.05,10113.16,54.3
23:17:12,310.05,10113.16,54.4
23:17:13,310.05,10113.16,54.7
23:17:14,310.55,10113.41,54.9
23:17:15,310.55,10113.41,54.9
23:17:16,310.55,10113.41,55.1
23:17:17,310.8,10113.66,55.2
23:17:18,310.8,10113.66,55.3
23:17:19,311.05,10114.16,55.4
23:17:20,311.55,10114.66,55.5
23:17:21,311.55,10114.66,55.7
23:17:22,311.55,10114.66,55.7
23:17:23,311.55,10114.66,55.9
